1378	33	Treptow-Köpenick	Köpenick südl. Müggelheimer Damm		M	W	1,0	220	W	1,0	300	
1366	33	Treptow-Köpenick	Köpenick Müggelschlößchenweg		M	W	1,0	220	W	1,0	300	
2351	18/25	Lichtenberg	Rummelsburg südl. Nöldnerstr./S-Bahn Rummelsburg			W	1,0	230	W	1,0	300	
1390	33	Treptow-Köpenick	Köpenick Allendeviertel		M	W	1,0	260	W	1,0	350	
1081	40	Neukölln	Rudow Schönefelder Str. / Waltersdorfer Ch. /		M	W	1,0	260	W	1,0	350	
""			Rudower Felder									
1426	18	Lichtenberg	Fennpfuhl Karl-Lade-Str. / Erich-Kuttner-Str.		M	W	1,0	260	W	1,0	400	
1416	18	Lichtenberg	Friedrichsfelde	Alt-Friedrichsfelde / Rosenfelder Ring E/M		W	1,0	260	W	1 0 ,		400	Änderung der BRW-Zone
1414	18	Lichtenberg	Fennpfuhl	Landsberger Allee / Hohenschönhauser Str. M		W	1,0	260	W	1,0		400	
1116	10	Reinickendorf	Reinickendorf	nördl. Kurt-Schumacher Damm E		W	1,0	270	W	1,0		350	
1089	10	Mitte	Wedding	Cambridger Str. / Belfaster Str. E		W	1,0	270	W	1,0		400	
1110	10	Mitte	Wedding	Cité Joffre E		W	1,0	270	W	1,0		350	
1461	18/25	Lichtenberg	Friedrichsfelde	südl. Rummelsburger Str. / Sewanstr. M		W	1,0	270	W	1,0		350	
1397	33	Treptow-Köpenick	Köpenick	Wendenschloßstr. / Grüne Trift / Zur M		W	1,0	270	W	1,0		350	
""				Nachtheide									
1399	34	Treptow-Köpenick	Friedrichshagen	Fürstenwalder Damm / Peter-Hille-Str. / M/G		W	1,0	290	W	1,0		350	
2303				Assmannstr. / Bruno-Wille-Str.									
2165	19	Marzahn Hellersdorf -	Biesdorf	südlich Weißenhöher Str , östlich E		W	1 0 ,	290	W	1 0 ,		350	Änderung der BRW-Zone
""				Grabensprung.									
1407	6	Pankow	Französisch	Rosenthaler Weg / Triftstr. / Blankenfelder Str. E/M		W	1,0	290	W	1,0		350	
1674			Buchholz										
2237	34	Treptow-Köpenick	Friedrichshagen	nördl. Werlseestr. M/G		W	1,0	290	W	1,0		350	
1451	25/26	Lichtenberg	Karlshorst	Sangeallee / Dönhoffstr. / Ehrenfelsstr. M/G		W	1,0	300	W	1,0		500	
1447	12/18	Lichtenberg	Alt-	Hauptstr. / Gehrenseestr. M		W	1,0	300	W	1,0		400	
""			Hohenschönhausen										
1440	12	Lichtenberg	Alt-	Degner Str. / Gembitzer Str. M		W	1,0	300	W	1,0		400	
""			Hohenschönhausen										
1454	33	Treptow-Köpenick	Köpenick	Oberspreestr. / Glienicker Str. / Köllnische M/E		W	1,0	330	W	1,0		400	
2304	26/33	Treptow-Köpenick	Köpenick Gehsener Str / Mahlsdorfer Str .	.			M	W	1 0 ,		330	W	1 0 ,		400	Änderung der BRW-Zone
1127	10	Reinickendorf	Wittenau Eichborndamm / Windhalmweg				M	W	1,0		330	W	1,0		400	
